Project ID,Project Name,Number,Street,Borough,Council District,Latitude (Internal),Longitude (Internal),Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,All Counted Units,Total Units
66758,CONFIDENTIAL,----,----,Brooklyn,46,,,No,Non Prevailing Wage,0,0,1,1
66754,CONFIDENTIAL,----,----,Bronx,12,,,No,Non Prevailing Wage,0,0,1,1
67011,2547 CRUGER AVENUE,2547,CRUGER AVENUE,Bronx,15,40.86468013,-73.86664656,No,Non Prevailing Wage,0,0,5,15
67010,245 EAST 115 STREET,245,EAST 115 STREET,Manhattan,8,40.79671587,-73.93860485,No,Non Prevailing Wage,0,0,4,13
66753,CONFIDENTIAL,----,----,Staten Island,49,,,No,Non Prevailing Wage,0,0,1,1
66689,CONFIDENTIAL,----,----,Brooklyn,36,,,No,Non Prevailing Wage,0,0,3,3
67007,198 19TH STREET,198,19 STREET,Brooklyn,38,40.66300485,-73.9936057,No,Non Prevailing Wage,0,0,6,29
67012,869 PARK AVENUE,869,PARK AVENUE,Brooklyn,36,40.69888297,-73.94037552,No,Non Prevailing Wage,0,0,9,44
61388,ESSEX CROSSING - SITE 4,180,BROOME STREET,Manhattan,1,40.71733145,-73.98645425,No,Non Prevailing Wage,0,10,121,263
51302,LA CENTRAL/BRONXCHESTER - BUILDINGS A & B,600,BERGEN AVENUE,Bronx,17,,,No,Non Prevailing Wage,56,58,281,281
51302,LA CENTRAL/BRONXCHESTER - BUILDINGS A & B,556,BERGEN AVENUE,Bronx,17,40.81602684,-73.91547272,No,Non Prevailing Wage,43,44,215,215
54360,SPRING CREEK PHASE 4B-1,475,VANDALIA AVENUE,Brooklyn,42,40.65522176,-73.87521758,No,Non Prevailing Wage,3,1,8,8
54360,SPRING CREEK PHASE 4B-1,479,VANDALIA AVENUE,Brooklyn,42,40.65527925,-73.87508052,No,Non Prevailing Wage,0,0,8,8
54360,SPRING CREEK PHASE 4B-1,481,VANDALIA AVENUE,Brooklyn,42,40.65532306,-73.87497953,No,Non Prevailing Wage,3,2,8,8
54360,SPRING CREEK PHASE 4B-1,483,VANDALIA AVENUE,Brooklyn,42,40.65536686,-73.87487493,No,Non Prevailing Wage,3,2,8,8
54360,SPRING CREEK PHASE 4B-1,485,VANDALIA AVENUE,Brooklyn,42,40.65541067,-73.87477393,No,Non Prevailing Wage,0,0,8,8
